; ------------------------------------------------
; Fit results:
; ============
; [1,1] amorphous boron: Thickness [nm] = 92.07656
; amorphous boron: N0 = 2.54600
; amorphous boron: N1 = 4017.90000
; amorphous boron: N2 = -5964.50000
; amorphous boron: K0 = -0.00200
; amorphous boron: K1 = -352.24300
; amorphous boron: K2 = -253.47100
; ------------------------------------------------
;pattern=*****
;lines
;linecolor=008000
;linewidth=1
;marker=0
;markerborder=0
;markercolor=ff
;
; Stylerecord: No. 1
;Marker[1]=0
;MarkerWidth[1]=0.0
;MarkerBorder[1]=black
;MarkerColor[1]=white
;lines[1]=1
;LineColor[1]=black
;LineWidth[1]=0.0
;Pattern[1]=*****--*--
; Stylerecord: No. 2
;Marker[2]=0
;MarkerWidth[2]=0.0
;MarkerBorder[2]=black
;MarkerColor[2]=white
;lines[2]=1
;LineColor[2]=black
;LineWidth[2]=0.0
;Pattern[2]=**
; Stylerecord: No. 3
;Marker[3]=0
;MarkerWidth[3]=0.0
;MarkerBorder[3]=black
;MarkerColor[3]=white
;lines[3]=1
;LineColor[3]=black
;LineWidth[3]=0.0
;Pattern[3]=*-
; Stylerecord: No. 4
;Marker[4]=0
;MarkerWidth[4]=0.0
;MarkerBorder[4]=black
;MarkerColor[4]=white
;lines[4]=1
;LineColor[4]=black
;LineWidth[4]=0.0
;Pattern[4]=**--
; Stylerecord: No. 5
;Marker[5]=0
;MarkerWidth[5]=0.0
;MarkerBorder[5]=black
;MarkerColor[5]=white
;lines[5]=1
;LineColor[5]=black
;LineWidth[5]=0.0
;Pattern[5]=***-*-
; Stylerecord: No. 6
;Marker[6]=0
;MarkerWidth[6]=0.0
;MarkerBorder[6]=black
;MarkerColor[6]=white
;lines[6]=1
;LineColor[6]=black
;LineWidth[6]=0.0
;Pattern[6]=**-*-
450.367737	29.642559	169.059021	20.646530	155.610565	12.114040	113.171913
451.222321	29.961670	170.295151	20.579580	156.239441	12.562030	112.450737
452.076904	30.212009	168.722687	20.990971	154.522003	12.811530	113.213997
452.931458	29.818140	167.848373	21.045620	155.962006	11.783920	114.453796
453.786041	29.857880	168.597000	21.092449	155.472824	12.699720	112.804764
454.640625	30.176081	166.972076	21.306250	153.856995	13.697180	113.060783
455.495209	30.010120	167.922226	21.155500	154.815063	13.387800	113.820099
456.349762	30.780600	167.503128	21.454729	153.626404	12.948030	113.428581
457.204346	29.911831	167.433960	21.277100	153.057739	13.013780	115.263817
458.058929	30.355181	168.027451	21.445431	153.950211	13.728110	113.395622
458.913483	30.219650	168.249359	21.625589	153.796661	13.053250	114.307640
459.768066	30.376141	166.890289	21.931999	152.921341	13.751160	114.493149
460.622650	29.954889	167.646164	21.600000	153.355774	13.729370	114.719177
461.477203	30.378611	168.171143	21.893311	153.031982	13.517250	115.947701
462.331787	30.694599	166.692963	22.212790	152.178818	13.365410	114.900887
463.186371	30.452959	167.220108	22.398590	152.405060	14.465580	114.187531
464.040924	30.258089	166.764450	22.044310	152.171188	14.270150	114.681488
464.895508	30.591499	166.336548	22.487419	151.622513	14.366670	114.420593
465.750092	31.155251	166.866684	22.349319	151.751587	14.112740	116.004303
466.604645	30.883970	166.578186	22.501551	151.950302	14.525710	116.507813
467.459229	31.226990	165.111603	22.409281	151.867462	14.867670	115.336090
468.313812	31.312950	166.854767	22.831400	150.757355	15.598430	114.203880
469.168365	31.302040	165.057419	22.880030	150.674271	14.952580	117.722717
470.022949	30.911970	166.281937	22.798800	151.399338	15.988770	113.601303
470.877533	30.704500	166.057571	23.107639	150.864456	15.436820	116.079063
