; ------------------------------------------------
; Fit results:
; ============
; [1,1] amorphous boron: Thickness [nm] = 82.54093
; amorphous boron: N0 = 2.51900
; amorphous boron: N1 = 5982.40000
; amorphous boron: N2 = -8881.40000
; amorphous boron: K0 = -0.42700
; amorphous boron: K1 = 4236.06100
; amorphous boron: K2 = -7917.63300
; ------------------------------------------------
;pattern=*****
;lines
;linecolor=008000
;linewidth=1
;marker=0
;markerborder=0
;markercolor=ff
; 
; Stylerecord: No. 1
;Marker[1]=0
;MarkerWidth[1]=0.0
;MarkerBorder[1]=black
;MarkerColor[1]=white
;lines[1]=1
;LineColor[1]=black
;LineWidth[1]=0.0
;Pattern[1]=*****--*--
; Stylerecord: No. 2
;Marker[2]=0
;MarkerWidth[2]=0.0
;MarkerBorder[2]=black
;MarkerColor[2]=white
;lines[2]=1
;LineColor[2]=black
;LineWidth[2]=0.0
;Pattern[2]=**
; Stylerecord: No. 3
;Marker[3]=0
;MarkerWidth[3]=0.0
;MarkerBorder[3]=black
;MarkerColor[3]=white
;lines[3]=1
;LineColor[3]=black
;LineWidth[3]=0.0
;Pattern[3]=*-
; Stylerecord: No. 4
;Marker[4]=0
;MarkerWidth[4]=0.0
;MarkerBorder[4]=black
;MarkerColor[4]=white
;lines[4]=1
;LineColor[4]=black
;LineWidth[4]=0.0
;Pattern[4]=**--
; Stylerecord: No. 5
;Marker[5]=0
;MarkerWidth[5]=0.0
;MarkerBorder[5]=black
;MarkerColor[5]=white
;lines[5]=1
;LineColor[5]=black
;LineWidth[5]=0.0
;Pattern[5]=***-*-
; Stylerecord: No. 6
;Marker[6]=0
;MarkerWidth[6]=0.0
;MarkerBorder[6]=black
;MarkerColor[6]=white
;lines[6]=1
;LineColor[6]=black
;LineWidth[6]=0.0
;Pattern[6]=**-*-
450.36774 29.64256 169.05902 20.64653 155.61057 12.11404 113.17191
451.22232 29.96167 170.29515 20.57958 156.23944 12.56203 112.45074
452.07690 30.21201 168.72269 20.99097 154.52200 12.81153 113.21400
452.93146 29.81814 167.84837 21.04562 155.96201 11.78392 114.45380
453.78604 29.85788 168.59700 21.09245 155.47282 12.69972 112.80476
454.64063 30.17608 166.97208 21.30625 153.85699 13.69718 113.06078
455.49521 30.01012 167.92223 21.15550 154.81506 13.38780 113.82010
456.34976 30.78060 167.50313 21.45473 153.62640 12.94803 113.42858
457.20435 29.91183 167.43396 21.27710 153.05774 13.01378 115.26382
458.05893 30.35518 168.02745 21.44543 153.95021 13.72811 113.39562
458.91348 30.21965 168.24936 21.62559 153.79666 13.05325 114.30764
459.76807 30.37614 166.89029 21.93200 152.92134 13.75116 114.49315
460.62265 29.95489 167.64616 21.60000 153.35577 13.72937 114.71918
461.47720 30.37861 168.17114 21.89331 153.03198 13.51725 115.94770
462.33179 30.69460 166.69296 22.21279 152.17882 13.36541 114.90089
463.18637 30.45296 167.22011 22.39859 152.40506 14.46558 114.18753
464.04092 30.25809 166.76445 22.04431 152.17119 14.27015 114.68149
464.89551 30.59150 166.33655 22.48742 151.62251 14.36667 114.42059
465.75009 31.15525 166.86668 22.34932 151.75159 14.11274 116.00430
466.60464 30.88397 166.57819 22.50155 151.95030 14.52571 116.50781
467.45923 31.22699 165.11160 22.40928 151.86746 14.86767 115.33609
468.31381 31.31295 166.85477 22.83140 150.75735 15.59843 114.20388
469.16837 31.30204 165.05742 22.88003 150.67427 14.95258 117.72272
470.02295 30.91197 166.28194 22.79880 151.39934 15.98877 113.60130
470.87753 30.70450 166.05757 23.10764 150.86446 15.43682 116.07906
471.73209 31.52468 165.20140 23.21774 150.94189 15.55753 116.77120
472.58667 30.94889 166.18996 23.43116 151.04730 15.32646 116.66515
473.44125 31.00953 165.26299 23.06456 151.89670 15.96133 116.25418
474.29581 31.51443 166.57791 23.76123 150.78490 16.64125 115.89268
475.15039 30.78685 164.94797 23.45303 150.12120 16.23207 115.68375
476.00497 31.17346 165.10571 24.09025 150.34924 16.44877 117.30864
476.85953 31.35146 165.41011 23.93042 150.61711 16.33629 117.35906
477.71411 31.28610 164.65649 24.22841 150.61604 16.17387 118.10170
478.56870 32.23632 165.20787 24.23565 150.92580 16.31157 117.98017
479.42325 31.81750 165.26193 24.20025 151.24831 16.71529 118.88901
480.27783 31.91976 165.41309 24.54026 151.05602 16.80186 118.22839
481.13242 31.21742 165.47160 24.50588 151.21092 16.49432 120.15965
481.98697 31.83994 164.15829 24.79558 150.65511 16.95422 118.91183
482.84155 32.30958 164.18811 24.84405 150.32411 16.97606 119.10765
483.69614 32.38492 163.41280 24.92199 150.36539 17.35707 118.61784
484.55069 32.60046 164.82463 25.08832 150.85835 17.38863 119.47422
485.40527 32.46885 164.14220 25.07258 150.45753 17.37228 119.98519
486.25986 32.51101 163.59471 25.21683 151.37401 17.30246 118.93181
487.11441 33.37162 163.51878 25.11225 150.85535 17.83174 120.59842
487.96899 32.00900 166.04140 25.31843 150.94733 17.65588 119.67716
488.82358 32.43090 165.46878 25.28936 151.15546 18.23806 120.08381
489.67813 32.99002 164.35674 25.81970 151.25963 18.37783 120.48494
