; ------------------------------------------------
; Fit results:
; ============
; [1,1] amorf boor: Thickness [nm] = 91.25912
; amorf boor: N0 = 2.57600
; amorf boor: N1 = 3675.50000
; amorf boor: N2 = -5430.70000
; amorf boor: K0 = 0.02000
; amorf boor: K1 = 215.26800
; amorf boor: K2 = 453.97200
; ------------------------------------------------
;pattern=*****
;lines
;linecolor=008000
;linewidth=1
;marker=0
;markerborder=0
;markercolor=ff
; 
; Stylerecord: No. 1
;Marker[1]=0
;MarkerWidth[1]=0.0
;MarkerBorder[1]=black
;MarkerColor[1]=white
;lines[1]=1
;LineColor[1]=black
;LineWidth[1]=0.0
;Pattern[1]=*****--*--
; Stylerecord: No. 2
;Marker[2]=0
;MarkerWidth[2]=0.0
;MarkerBorder[2]=black
;MarkerColor[2]=white
;lines[2]=1
;LineColor[2]=black
;LineWidth[2]=0.0
;Pattern[2]=**
; Stylerecord: No. 3
;Marker[3]=0
;MarkerWidth[3]=0.0
;MarkerBorder[3]=black
;MarkerColor[3]=white
;lines[3]=1
;LineColor[3]=black
;LineWidth[3]=0.0
;Pattern[3]=*-
; Stylerecord: No. 4
;Marker[4]=0
;MarkerWidth[4]=0.0
;MarkerBorder[4]=black
;MarkerColor[4]=white
;lines[4]=1
;LineColor[4]=black
;LineWidth[4]=0.0
;Pattern[4]=**--
; Stylerecord: No. 5
;Marker[5]=0
;MarkerWidth[5]=0.0
;MarkerBorder[5]=black
;MarkerColor[5]=white
;lines[5]=1
;LineColor[5]=black
;LineWidth[5]=0.0
;Pattern[5]=***-*-
; Stylerecord: No. 6
;Marker[6]=0
;MarkerWidth[6]=0.0
;MarkerBorder[6]=black
;MarkerColor[6]=white
;lines[6]=1
;LineColor[6]=black
;LineWidth[6]=0.0
;Pattern[6]=**-*-
450.36774 29.92844 167.76469 21.82003 153.16161 13.41667 115.03723
451.22232 30.05352 168.34135 21.73562 152.97604 13.50791 115.33543
452.07690 30.84904 167.80421 21.46020 153.68271 13.12146 116.15094
452.93146 31.42085 168.57555 22.07929 153.75043 13.55757 114.48109
453.78604 30.89639 167.87596 21.47332 152.73547 14.03405 115.82540
454.64063 31.03837 167.04228 21.99342 153.70877 12.84204 117.57812
455.49521 30.59424 166.66693 22.22779 153.38934 13.53318 116.65308
456.34976 30.40985 166.75426 21.98656 152.46756 13.25512 117.41393
457.20435 30.81187 167.35240 22.33908 153.59982 14.14922 117.30727
458.05893 30.53547 166.85825 22.81681 152.62444 14.29596 114.96033
458.91348 30.08711 167.02156 22.44637 152.13307 14.18305 117.04025
459.76807 30.61537 166.10439 22.64584 152.47356 14.39099 116.66994
460.62265 31.46333 167.29652 22.67798 152.05997 14.62218 116.29479
461.47720 31.62532 166.44489 23.07144 152.35056 15.39713 114.85432
462.33179 30.40773 165.85832 23.23211 151.84343 15.27131 116.46094
463.18637 31.05622 165.70341 23.36908 152.12672 14.53698 118.46429
464.04092 30.94192 166.32600 23.28969 151.74014 15.52054 117.11265
464.89551 30.81811 166.43228 23.16265 151.95195 15.50526 116.70050
465.75009 31.29022 166.50348 23.23227 151.86069 15.13576 116.56756
466.60464 31.92691 166.40732 23.87313 151.48772 15.32855 117.95645
467.45923 31.23211 166.32712 23.36330 151.99896 15.76244 117.17470
468.31381 31.33564 165.70445 23.55977 151.35117 15.60281 119.28288
469.16837 31.32503 165.23500 23.80995 152.01526 16.01554 118.95312
470.02295 31.85729 165.28539 23.72393 150.69980 16.26237 116.91533
470.87753 31.69816 165.31323 23.91191 150.93231 17.03908 118.21909
471.73209 31.90798 165.05832 24.24405 152.04317 16.52160 118.31846
